FurLength,Breed1,Breed2,Color2,Type,Sterilized,Vaccinated,Gender,State,Color3,Color1,Age,Health,MaturitySize,Fee,VideoAmt,Dewormed,PhotoAmt
2,265,0,6,2,2,2,1,41401,0,1,3,1,2,0,0,2,2.0
2,307,0,0,1,1,1,2,41326,0,1,8,1,2,0,0,1,1.0
2,307,307,7,1,2,1,3,41326,0,2,4,1,2,0,0,1,12.0
2,307,0,0,1,2,1,1,41326,0,2,3,1,2,50,0,1,2.0
1,307,307,7,1,2,2,2,41326,0,5,1,1,2,0,0,2,10.0
3,206,0,5,1,2,1,1,41326,7,2,72,1,3,0,0,1,4.0
1,307,0,0,1,1,1,2,41326,0,5,36,1,3,0,0,1,1.0
3,218,179,0,1,1,1,2,41326,0,5,48,1,2,0,0,1,3.0
3,307,0,7,1,3,3,2,41326,0,1,12,2,2,0,0,3,3.0
1,266,0,0,2,1,1,2,41327,0,1,8,1,2,10,0,1,2.0
2,265,0,4,2,1,1,2,41401,7,1,24,1,2,0,0,1,1.0
1,265,0,5,2,2,1,2,41326,0,2,1,1,1,0,0,1,3.0
1,266,0,4,2,1,1,3,41326,7,1,18,1,2,0,0,1,4.0
1,307,0,7,1,2,1,3,41330,0,2,2,1,2,0,1,1,10.0
3,205,179,6,1,3,1,1,41326,7,2,92,1,2,200,0,1,3.0
1,307,0,0,1,1,1,1,41401,0,2,12,1,2,0,0,1,1.0
1,266,0,6,2,2,1,2,41401,0,1,3,1,2,0,0,1,3.0
1,266,243,0,2,1,1,1,41326,0,7,48,1,1,50,0,1,27.0
2,109,0,7,1,1,1,2,41326,0,3,12,1,2,0,0,1,3.0
1,266,0,2,2,1,1,2,41326,7,1,72,1,3,0,0,1,1.0
1,307,0,0,1,1,1,2,41332,0,7,12,1,2,0,0,1,28.0
1,266,0,2,2,2,2,2,41326,7,1,2,1,2,0,0,2,5.0
1,292,0,7,2,2,2,1,41326,0,2,5,1,2,0,0,1,3.0
1,307,0,2,1,2,2,2,41401,7,1,2,1,2,0,1,1,6.0
3,264,0,7,2,2,2,2,41326,0,2,8,1,2,0,0,2,2.0
1,266,254,3,2,1,1,2,41326,0,2,3,1,2,150,0,1,3.0
2,152,0,2,1,3,3,2,41326,0,1,48,1,1,0,0,2,3.0
2,307,0,2,1,2,2,3,41326,7,1,2,1,2,0,0,2,2.0
1,266,284,6,2,2,2,2,41326,7,2,2,1,1,0,0,2,4.0
1,307,0,0,1,2,1,1,41326,0,1,2,1,2,0,0,1,3.0
1,307,0,7,1,2,3,1,41326,0,2,5,1,2,0,0,1,2.0
1,266,0,3,2,2,3,1,41326,0,2,6,2,2,0,0,2,4.0
1,266,0,7,2,2,2,2,41327,0,1,2,1,1,0,0,1,3.0
1,307,0,0,1,2,2,2,41326,0,5,2,1,2,150,0,2,5.0
2,307,189,2,1,1,1,2,41326,0,1,4,1,3,0,1,1,7.0
2,266,0,7,2,2,2,1,41326,0,1,6,1,2,0,0,1,1.0
1,307,307,0,1,2,2,2,41401,0,2,2,1,3,0,0,2,5.0
1,189,0,2,1,3,1,1,41401,0,1,36,1,2,0,0,1,4.0
1,307,0,0,1,1,1,1,41336,0,1,36,1,3,0,0,1,3.0
1,213,307,2,1,3,3,2,41401,7,1,4,1,2,0,0,1,5.0
1,307,0,2,1,3,2,1,41326,0,1,1,1,2,0,0,2,3.0
2,307,0,0,1,3,3,1,41401,0,2,60,1,2,0,0,3,4.0
3,264,0,0,2,2,2,1,41326,0,3,1,1,1,0,0,2,3.0
2,72,72,7,1,2,1,1,41326,0,1,5,1,1,0,0,1,10.0
2,307,0,0,1,3,3,1,41326,0,2,3,1,2,0,0,3,5.0
1,266,0,7,2,2,2,2,41326,0,1,12,2,2,0,0,2,5.0
2,307,307,2,1,1,2,3,41324,7,1,2,1,2,0,0,1,11.0
1,266,0,7,2,2,2,1,41326,0,3,1,1,1,0,0,1,4.0
2,265,0,7,2,2,2,1,41342,0,1,3,1,1,80,0,2,3.0
1,179,0,3,1,1,1,1,41401,0,2,24,1,1,350,0,1,3.0
1,307,0,5,1,1,1,1,41326,0,3,24,1,2,80,3,1,20.0
1,266,0,7,2,2,2,2,41326,0,6,4,1,1,0,0,1,9.0
1,243,251,3,2,2,2,2,41326,7,1,3,1,3,0,0,2,2.0
2,307,119,5,1,1,1,1,41330,7,1,60,1,2,0,0,1,2.0
1,266,247,2,2,2,1,3,41401,7,1,8,1,2,0,0,1,6.0
3,109,0,0,1,3,2,2,41326,0,3,15,1,3,0,0,2,1.0
2,266,0,6,2,2,2,1,41401,7,2,2,1,2,0,0,2,5.0
2,307,103,2,1,1,1,2,41326,7,1,2,1,2,10,0,1,2.0
1,249,266,6,2,2,2,3,41326,0,1,18,1,1,0,0,2,3.0
2,179,0,0,1,2,3,1,41326,0,5,12,1,1,0,0,3,1.0
2,303,0,4,2,1,1,2,41336,7,1,7,1,2,0,0,1,5.0
2,265,0,4,2,1,1,2,41401,7,2,6,1,1,0,0,1,2.0
1,266,0,7,2,1,1,1,41326,0,3,15,1,3,0,0,1,6.0
2,307,0,2,1,2,1,2,41326,7,1,3,1,2,0,0,1,1.0
2,265,0,5,2,1,1,1,41326,6,1,2,1,3,0,0,1,1.0
1,266,0,5,2,2,2,2,41326,7,4,1,1,2,0,0,1,3.0
1,252,0,5,2,2,2,2,41326,7,4,4,1,2,0,0,2,1.0
1,266,266,6,2,1,1,1,41327,7,1,28,1,2,0,0,1,7.0
1,60,0,3,1,2,1,3,41326,0,1,2,1,2,0,0,1,4.0
1,179,0,0,1,1,1,2,41325,0,5,36,1,1,0,0,1,1.0
1,128,307,0,1,2,2,1,41326,0,5,4,2,2,0,0,1,1.0
1,266,0,0,2,1,1,1,41401,0,6,6,1,2,0,0,1,5.0
1,266,0,0,2,2,2,1,41401,0,6,2,1,2,0,0,1,1.0
2,307,307,0,1,2,2,2,41326,0,2,1,1,2,0,0,1,14.0
2,307,0,0,1,3,3,1,41401,0,7,60,1,1,0,0,3,4.0
1,266,0,7,2,1,1,3,41326,0,1,5,1,1,0,0,1,5.0
1,307,0,0,1,2,3,2,41401,0,3,2,1,2,0,0,1,2.0
1,307,0,2,1,3,3,3,41326,7,1,1,1,2,0,0,3,15.0
1,266,266,2,2,2,2,3,41326,7,1,2,1,2,0,0,2,1.0
1,307,0,0,1,2,2,1,41401,0,1,4,1,2,0,0,2,2.0
2,265,0,7,2,2,2,2,41326,0,1,1,1,2,0,0,1,1.0
2,307,0,0,1,1,1,1,41401,0,2,12,1,2,0,0,1,6.0
1,296,292,5,2,2,2,2,41327,7,2,3,1,2,50,0,1,2.0
1,213,307,2,1,2,2,3,41326,0,1,1,1,2,0,0,1,4.0
2,307,0,2,1,2,2,3,41401,7,1,2,1,2,0,0,2,1.0
1,266,0,2,2,3,2,2,41326,4,1,2,1,2,0,0,1,4.0
1,307,0,7,1,1,1,2,41401,0,1,6,1,2,0,0,1,2.0
2,307,0,7,1,3,3,1,41330,0,2,255,1,2,0,0,3,3.0
1,307,0,7,1,2,2,2,41327,0,1,2,1,2,5,0,1,1.0
1,307,0,0,1,2,1,2,41401,0,2,4,1,2,0,0,1,4.0
1,254,266,6,2,1,1,2,41401,7,3,24,1,1,50,0,1,13.0
2,283,243,0,2,2,2,2,41326,0,1,4,1,2,50,0,2,5.0
2,307,0,7,1,2,2,1,41327,0,1,2,1,2,0,0,1,1.0
2,307,0,3,1,2,2,2,41326,7,2,2,1,2,0,0,2,2.0
1,307,307,2,1,3,2,1,41336,7,1,1,1,2,0,0,2,3.0
1,266,0,4,2,2,2,3,41401,7,1,1,1,1,0,0,2,3.0
2,243,243,7,2,2,2,2,41401,0,1,2,1,1,0,0,2,0.0
1,266,0,6,2,2,2,2,41326,0,1,5,1,1,0,0,2,5.0
2,307,307,2,1,3,3,1,41401,3,1,24,1,2,0,0,3,4.0
1,307,0,2,1,3,1,1,41401,7,1,2,1,2,0,0,1,7.0
1,266,0,0,2,2,2,1,41327,0,1,4,1,1,0,0,1,4.0
1,266,0,7,2,2,2,2,41326,0,2,3,1,1,0,0,1,2.0
1,266,0,0,2,1,1,1,41326,0,2,12,1,2,0,0,1,11.0
2,265,276,0,2,2,1,1,41336,0,7,17,2,2,50,0,1,3.0
1,266,0,0,2,1,1,1,41401,0,6,7,1,2,60,0,1,3.0
3,242,0,7,2,2,1,1,41326,0,2,1,1,2,400,0,1,9.0
2,78,307,0,1,1,1,2,41401,0,2,14,1,2,0,0,1,2.0
2,307,0,0,1,2,2,2,41327,0,7,1,1,2,0,0,2,5.0
2,307,0,3,1,3,3,1,41401,0,2,120,2,2,0,0,3,1.0
2,303,0,2,2,2,2,2,41326,7,1,1,1,1,0,1,2,2.0
1,189,307,2,1,1,1,1,41326,0,1,36,1,3,0,0,1,4.0
2,307,0,7,1,2,1,2,41326,0,2,1,1,2,0,0,3,4.0
1,307,0,2,1,3,3,1,41401,0,1,24,1,2,0,0,3,1.0
1,266,0,5,2,2,2,3,41326,0,1,4,1,2,300,1,2,5.0
2,265,0,3,2,2,2,2,41326,4,1,48,1,3,0,0,2,1.0
1,266,0,4,2,2,2,2,41401,7,1,1,1,2,0,0,1,3.0
1,266,0,7,2,2,2,1,41326,0,1,1,1,2,0,0,1,11.0
2,254,0,5,2,2,1,2,41326,7,1,2,1,1,0,0,1,1.0
1,266,0,7,2,2,1,1,41335,0,6,2,1,2,0,0,2,3.0
1,307,307,2,1,2,2,2,41327,7,1,2,1,2,0,0,2,4.0
1,307,0,2,1,3,3,3,41401,0,1,2,2,2,0,0,3,2.0
2,307,109,3,1,1,1,2,41326,0,2,12,1,2,0,1,1,20.0
1,283,0,7,2,1,1,1,41326,0,1,6,1,2,0,0,1,6.0
1,307,0,0,1,2,2,1,41326,0,2,1,1,1,0,0,2,0.0
1,307,0,2,1,3,3,1,41326,0,1,5,1,2,0,0,3,0.0
1,266,266,7,2,2,2,1,41401,0,4,4,1,1,0,0,1,4.0
1,307,0,2,1,3,3,1,41401,0,1,1,1,2,0,0,3,1.0
2,307,0,0,1,1,1,2,41401,0,2,3,1,2,0,0,1,12.0
1,307,0,0,1,1,1,1,41326,0,2,3,1,2,0,0,1,2.0
1,266,0,0,2,2,2,2,41326,0,6,1,1,1,0,0,2,7.0
2,307,0,0,1,2,2,2,41326,0,2,2,1,2,0,0,1,1.0
2,307,0,3,1,1,1,2,41401,0,1,8,1,2,0,0,1,4.0
1,307,0,7,1,2,2,2,41326,0,2,3,1,2,0,0,1,3.0
1,307,0,2,1,2,1,2,41326,0,1,1,1,2,0,0,1,10.0
2,307,0,7,1,2,1,2,41326,0,1,1,1,2,0,0,1,1.0
2,307,0,2,1,2,2,2,41326,0,1,1,1,2,20,0,2,12.0
3,264,0,7,2,2,2,3,41326,0,1,1,1,1,0,0,2,5.0
1,266,0,7,2,1,1,2,41401,0,1,4,1,1,0,0,1,1.0
1,307,0,0,1,2,2,3,41326,0,7,0,1,1,0,0,2,1.0
1,266,0,7,2,1,3,2,41401,0,1,12,1,1,0,0,1,3.0
2,307,0,2,1,2,1,2,41401,0,1,3,1,2,0,0,1,2.0
1,189,0,2,1,1,1,2,41326,0,1,24,1,4,0,0,1,2.0
1,218,128,7,1,1,3,2,41327,0,2,10,1,1,0,0,3,3.0
1,266,0,7,2,2,2,2,41330,0,6,2,2,1,0,0,1,2.0
2,307,307,0,1,2,2,2,41326,0,2,2,1,2,0,0,1,11.0
1,266,0,7,2,2,2,3,41401,0,6,4,1,2,0,0,2,4.0
1,266,0,2,2,2,2,2,41326,7,1,6,1,2,0,0,2,1.0
1,266,0,0,2,1,1,2,41401,0,1,12,1,1,100,0,1,3.0
3,285,0,4,2,2,2,1,41326,7,1,2,1,2,650,0,1,5.0
1,266,0,0,2,2,2,2,41326,0,2,2,1,2,0,0,2,2.0
1,307,0,0,1,1,1,2,41326,0,6,36,1,2,50,0,1,5.0
1,266,0,0,2,1,1,1,41401,0,6,41,1,3,0,0,1,5.0
1,266,0,6,2,1,1,2,41401,7,5,12,1,1,0,0,1,1.0
1,292,268,3,2,2,2,3,41326,7,2,10,1,2,0,0,2,3.0
2,307,0,2,1,2,1,2,41330,7,1,1,1,1,0,0,1,5.0
2,307,0,3,1,3,1,1,41401,0,1,12,1,3,0,0,1,2.0
2,307,0,0,1,2,2,1,41326,0,1,2,2,1,0,0,2,2.0
2,307,307,7,1,3,1,2,41401,0,5,84,1,2,0,0,1,4.0
1,299,299,3,2,2,1,3,41326,5,2,2,1,1,0,0,1,5.0
2,265,0,0,2,2,2,1,41401,0,7,2,1,2,0,0,2,1.0
1,266,0,3,2,1,1,2,41401,7,1,5,1,2,0,0,1,6.0
1,266,0,7,2,2,1,2,41401,0,1,2,1,2,0,0,1,12.0
1,265,0,2,2,2,2,3,41332,5,1,2,1,1,0,0,2,5.0
1,266,0,0,2,2,1,2,41326,0,6,2,1,2,0,0,1,9.0
2,205,0,7,1,2,1,1,41326,0,2,60,2,2,0,0,1,1.0
1,266,0,2,2,2,2,3,41326,7,1,2,1,2,0,0,2,4.0
2,307,0,0,1,2,2,2,41326,0,1,2,1,2,0,0,2,5.0
3,205,0,7,1,1,1,2,41326,0,3,72,1,1,0,0,1,1.0
2,265,0,7,2,1,1,1,41326,0,1,180,1,2,0,0,1,1.0
2,307,0,0,1,2,1,2,41326,0,1,2,1,2,0,0,1,3.0
2,307,0,7,1,2,1,2,41326,0,1,2,1,2,0,1,1,3.0
2,266,0,3,2,2,2,3,41326,4,2,2,1,1,0,0,2,1.0
1,307,0,0,1,2,2,1,41326,0,1,2,1,2,0,0,2,7.0
1,266,0,0,2,1,2,1,41401,0,7,4,1,2,0,0,1,2.0
1,266,265,7,2,2,1,1,41326,0,1,3,1,1,30,0,1,4.0
1,307,0,0,1,1,1,2,41401,0,2,13,1,2,0,0,1,6.0
1,266,0,6,2,2,2,3,41326,7,1,2,1,1,0,0,2,0.0
2,109,0,0,1,1,1,2,41401,0,3,36,1,3,0,0,1,0.0
2,299,0,4,2,1,3,1,41326,0,3,36,1,2,0,0,3,4.0
1,266,0,7,2,2,2,1,41326,0,4,4,1,2,0,0,2,1.0
1,307,0,7,1,1,1,2,41326,0,1,4,1,2,0,0,1,1.0
1,266,0,3,2,2,3,1,41401,7,2,8,1,2,0,0,2,3.0
2,265,0,5,2,2,2,2,41326,7,4,2,1,1,0,0,2,6.0
2,179,0,0,1,2,1,1,41326,0,5,24,1,2,0,0,1,4.0
2,206,189,5,1,2,2,1,41326,0,1,1,1,1,0,0,2,1.0
1,307,0,2,1,2,2,2,41327,0,1,2,1,2,20,0,2,1.0
2,306,0,7,2,2,1,1,41401,0,1,12,1,2,0,0,1,3.0
1,266,0,0,2,3,1,2,41401,0,6,24,1,1,0,0,1,3.0
2,252,277,7,2,2,1,1,41326,0,1,3,1,2,15,0,2,3.0
3,307,0,7,1,3,3,1,41330,0,2,24,3,2,0,0,3,3.0
1,266,265,5,2,3,3,3,41326,6,3,24,1,2,0,0,3,1.0
1,299,0,7,2,1,1,1,41332,0,4,10,1,2,0,0,1,6.0
1,307,0,0,1,2,1,2,41327,0,5,12,1,2,0,0,1,1.0
1,307,0,7,1,2,1,1,41326,0,1,39,1,2,0,0,1,5.0
1,307,218,0,1,2,1,1,41326,0,5,3,1,1,270,0,1,5.0
2,265,0,7,2,2,2,2,41326,0,5,2,1,1,0,0,2,1.0
1,266,0,2,2,2,1,1,41326,0,1,2,1,2,70,0,1,1.0
2,243,0,3,2,2,2,2,41401,4,2,3,1,2,0,0,1,0.0
2,265,0,3,2,2,2,3,41327,0,2,2,1,2,0,0,2,5.0
1,205,0,7,1,2,1,1,41326,0,2,17,1,1,0,0,1,0.0
1,266,0,2,2,2,2,2,41325,3,1,1,1,1,0,0,2,4.0
1,307,0,0,1,2,2,3,41335,0,2,2,1,2,0,0,2,3.0
